group,n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top3_accuracy,reliable,accuracy_95ci,caveats
fitzpatrick_I,15,0.6,0.5555555555555556,0.5833333333333334,0.5555555555555556,0.5555555555555556,1.0,False,"[0.3333333333333333, 0.8666666666666667]",only 15 test images (< 100); only 9/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_II,52,0.5961538461538461,0.5809523809523809,0.5635416666666666,0.5809523809523809,0.5538190975690975,0.8653846153846154,False,"[0.46153846153846156, 0.7307692307692307]",only 52 test images (< 100); only 16/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_III,96,0.6875,0.701512014555493,0.7714160235899368,0.701512014555493,0.6862271786184829,0.8541666666666666,False,"[0.59375, 0.7708333333333334]",only 96 test images (< 100); only 23/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_IV,96,0.65625,0.7038888888888889,0.7128571428571429,0.7038888888888889,0.6812012402801877,0.8645833333333334,False,"[0.5625, 0.7395833333333334]",only 96 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_V,56,0.6428571428571429,0.6473809523809524,0.5675,0.6473809523809524,0.567032967032967,0.8392857142857143,False,"[0.5178571428571429, 0.7678571428571429]",only 56 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_VI,26,0.7692307692307693,0.6825396825396827,0.7047619047619046,0.6825396825396827,0.6779100529100529,0.8846153846153846,False,"[0.5769230769230769, 0.9230769230769231]",only 26 test images (< 100); only 12/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
unknown,11,0.6363636363636364,0.78,0.8333333333333334,0.78,0.7409523809523808,0.8181818181818182,False,"[0.36363636363636365, 0.9090909090909091]",only 11 test images (< 100); only 5/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
lighter_I-III,163,0.6503067484662577,0.6587460317460319,0.6794032634032632,0.6587460317460319,0.6345949326096048,0.8711656441717791,True,"[0.5828220858895705, 0.7177914110429447]",only 25/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
darker_IV-VI,178,0.6685393258426966,0.685731348733021,0.614028905876732,0.685731348733021,0.6148136415030966,0.8595505617977528,True,"[0.5955056179775281, 0.7415730337078652]",some classes have < 5 images; per-class recall is very noisy
