group,n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top3_accuracy,reliable,accuracy_95ci,caveats
fitzpatrick_I,15,0.4666666666666667,0.4074074074074074,0.3888888888888889,0.4074074074074074,0.3851851851851852,1.0,False,"[0.2, 0.7333333333333333]",only 15 test images (< 100); only 9/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_II,52,0.7307692307692307,0.6586309523809524,0.6488095238095237,0.6586309523809524,0.6325611888111888,0.9230769230769231,False,"[0.6149038461538462, 0.8461538461538461]",only 52 test images (< 100); only 16/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_III,96,0.7708333333333334,0.7588807327937763,0.759346571303093,0.7588807327937763,0.7409259822303299,0.9270833333333334,False,"[0.6875, 0.84375]",only 96 test images (< 100); only 23/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_IV,96,0.8020833333333334,0.8022222222222222,0.844484126984127,0.8022222222222222,0.8084126898960659,0.9479166666666666,False,"[0.71875, 0.875]",only 96 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_V,56,0.8214285714285714,0.8078571428571429,0.7711904761904761,0.8078571428571429,0.7658116883116881,0.9464285714285714,False,"[0.7142857142857143, 0.9107142857142857]",only 56 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_VI,26,0.7692307692307693,0.7609126984126985,0.75,0.7609126984126985,0.7416666666666668,0.8846153846153846,False,"[0.5769230769230769, 0.9230769230769231]",only 26 test images (< 100); only 12/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
unknown,11,0.45454545454545453,0.54,0.5333333333333333,0.54,0.5171428571428571,0.8181818181818182,False,"[0.18181818181818182, 0.7272727272727273]",only 11 test images (< 100); only 5/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
lighter_I-III,163,0.7300613496932515,0.6858888888888889,0.6773816359079516,0.6858888888888889,0.6694450476230162,0.9325153374233128,True,"[0.6625766871165644, 0.7914110429447853]",only 25/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
darker_IV-VI,178,0.8033707865168539,0.7687131105609366,0.7766313657433567,0.7687131105609366,0.7528832897135286,0.9382022471910112,True,"[0.7471910112359551, 0.8595505617977528]",some classes have < 5 images; per-class recall is very noisy
