group,n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top3_accuracy,reliable,accuracy_95ci,caveats
fitzpatrick_I,15,0.6666666666666666,0.6111111111111112,0.5444444444444445,0.6111111111111112,0.5449735449735449,0.8666666666666667,False,"[0.4666666666666667, 0.8666666666666667]",only 15 test images (< 100); only 9/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_II,52,0.46153846153846156,0.42589285714285713,0.4186011904761905,0.42589285714285713,0.4142944677871149,0.8269230769230769,False,"[0.3269230769230769, 0.6153846153846154]",only 52 test images (< 100); only 16/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_III,96,0.5416666666666666,0.537263943785683,0.5061076604554866,0.537263943785683,0.5086585961822256,0.75,False,"[0.44765625000000003, 0.6354166666666666]",only 96 test images (< 100); only 23/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_IV,96,0.5416666666666666,0.5408333333333333,0.6285281385281386,0.5408333333333333,0.5584039390561129,0.8333333333333334,False,"[0.4479166666666667, 0.6354166666666666]",only 96 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_V,56,0.6964285714285714,0.6152380952380951,0.6024999999999999,0.6152380952380951,0.5811263736263736,0.7321428571428571,False,"[0.5714285714285714, 0.8214285714285714]",only 56 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_VI,26,0.5384615384615384,0.36309523809523814,0.3958333333333333,0.36309523809523814,0.3761904761904762,0.7307692307692307,False,"[0.34615384615384615, 0.7307692307692307]",only 26 test images (< 100); only 12/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
unknown,11,0.6363636363636364,0.78,0.9,0.78,0.780952380952381,0.9090909090909091,False,"[0.36363636363636365, 0.9090909090909091]",only 11 test images (< 100); only 5/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
lighter_I-III,163,0.5276073619631901,0.5007777777777779,0.5089417989417989,0.5007777777777779,0.4835280089926688,0.7852760736196319,True,"[0.44785276073619634, 0.6073619631901841]",only 25/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
darker_IV-VI,178,0.5898876404494382,0.5535810575526294,0.5423558511351154,0.5535810575526294,0.508282868463864,0.7865168539325843,True,"[0.5168539325842697, 0.6629213483146067]",some classes have < 5 images; per-class recall is very noisy
