group,n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top3_accuracy,reliable,accuracy_95ci,caveats
fitzpatrick_I,15,0.8,0.7777777777777778,0.7407407407407407,0.7777777777777778,0.7555555555555555,1.0,False,"[0.6, 1.0]",only 15 test images (< 100); only 9/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_II,52,0.5,0.44672619047619044,0.5357638888888889,0.44672619047619044,0.44215593434343436,0.7307692307692307,False,"[0.36538461538461536, 0.6346153846153846]",only 52 test images (< 100); only 16/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_III,96,0.5520833333333334,0.5730942970073406,0.53216011042098,0.5730942970073406,0.5265753316096565,0.71875,False,"[0.4583333333333333, 0.65625]",only 96 test images (< 100); only 23/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_IV,96,0.5625,0.5774999999999999,0.5995238095238096,0.5774999999999999,0.5383409645909645,0.7916666666666666,False,"[0.4583333333333333, 0.65625]",only 96 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_V,56,0.6785714285714286,0.7244047619047618,0.7191666666666665,0.7244047619047618,0.6902930402930403,0.8392857142857143,False,"[0.5535714285714286, 0.8035714285714286]",only 56 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_VI,26,0.6538461538461539,0.6200396825396826,0.6666666666666666,0.6200396825396826,0.6152777777777777,0.6923076923076923,False,"[0.5, 0.8086538461538453]",only 26 test images (< 100); only 12/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
unknown,11,0.45454545454545453,0.44000000000000006,0.3666666666666666,0.44000000000000006,0.37714285714285717,0.6363636363636364,False,"[0.18181818181818182, 0.7272727272727273]",only 11 test images (< 100); only 5/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
lighter_I-III,163,0.558282208588957,0.5739523809523809,0.5333073593073593,0.5739523809523809,0.5230529216823468,0.7484662576687117,True,"[0.48466257668711654, 0.6319018404907976]",only 25/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
darker_IV-VI,178,0.6123595505617978,0.6908898143847977,0.6126267962806424,0.6908898143847977,0.604872895088574,0.7921348314606742,True,"[0.5449438202247191, 0.6799157303370785]",some classes have < 5 images; per-class recall is very noisy
