Model,status,n_test,Accuracy,Balanced Accuracy,Macro F1,Top-3,Light I-III acc,Light n,Light macro F1,Dark IV-VI acc,Dark n,Dark macro F1,"Gap (acc, light-dark)",Gap 95% CI,Macro-F1 gap,Case-mix controlled recall gap,ECE
MobileNetV2,test,352,0.46875,0.4151631179212151,0.41002466594878456,0.7130681818181818,0.44785276073619634,163,0.339588907824202,0.48314606741573035,178,0.40609086525078425,-0.03529330667953401,"[-0.13546305231956982, 0.07506720893361823]",-0.06650195742658227,-0.05656503068187857,0.04017904231494124
EfficientNetV2-B0,test,352,0.5625,0.5507176949231605,0.5245906993335185,0.7897727272727273,0.5276073619631901,163,0.4835280089926688,0.5898876404494382,178,0.508282868463864,-0.062280278486248064,"[-0.16960777555662782, 0.043454883849176146]",-0.024754859471195156,-0.017103940745245072,0.06821512524038552
PanDerm_Base Linear Probe,test,352,0.7585227272727273,0.7408421411584367,0.7514732178702767,0.9318181818181818,0.7300613496932515,163,0.6694450476230162,0.8033707865168539,178,0.7528832897135286,-0.07330943682360236,"[-0.16432584269662917, 0.014075101675053414]",-0.08343824209051243,-0.07120741577263312,0.15898899551989
PanDerm_Base Partial FT,test,352,0.6590909090909091,0.6934158705666804,0.6551131358146309,0.8636363636363636,0.6503067484662577,163,0.6345949326096048,0.6685393258426966,178,0.6148136415030966,-0.018232577376438908,"[-0.11994209691872892, 0.08806093609981391]",0.01978129110650817,0.005602232912015448,0.17174022026698693
