group,n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top3_accuracy,reliable,accuracy_95ci,caveats
fitzpatrick_I,15,0.5333333333333333,0.5,0.4666666666666667,0.5,0.47619047619047616,0.7333333333333333,False,"[0.26666666666666666, 0.8]",only 15 test images (< 100); only 9/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_II,52,0.40384615384615385,0.306547619047619,0.30679563492063494,0.306547619047619,0.29828643578643577,0.7115384615384616,False,"[0.28846153846153844, 0.5384615384615384]",only 52 test images (< 100); only 16/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_III,96,0.4583333333333333,0.39975218018696274,0.4386034255599473,0.39975218018696274,0.3854021582282452,0.7083333333333334,False,"[0.3645833333333333, 0.5625]",only 96 test images (< 100); only 23/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_IV,96,0.4791666666666667,0.4602777777777778,0.5542506105006105,0.4602777777777778,0.45479586890577595,0.7708333333333334,False,"[0.375, 0.5729166666666666]",only 96 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_V,56,0.5,0.4627380952380952,0.4901190476190476,0.4627380952380952,0.4338247863247863,0.6964285714285714,False,"[0.37455357142857143, 0.6254464285714282]",only 56 test images (< 100); only 20/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
fitzpatrick_VI,26,0.46153846153846156,0.38392857142857145,0.35615079365079366,0.38392857142857145,0.3621031746031746,0.5769230769230769,False,"[0.2692307692307692, 0.6538461538461539]",only 26 test images (< 100); only 12/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
unknown,11,0.5454545454545454,0.58,0.6666666666666666,0.58,0.5933333333333334,0.6363636363636364,False,"[0.2727272727272727, 0.8181818181818182]",only 11 test images (< 100); only 5/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
lighter_I-III,163,0.44785276073619634,0.35838095238095236,0.3855544455544455,0.35838095238095236,0.339588907824202,0.7116564417177914,True,"[0.37423312883435583, 0.5214723926380368]",only 25/26 classes present; macro metrics cover present classes only; some classes have < 5 images; per-class recall is very noisy
darker_IV-VI,178,0.48314606741573035,0.40697042181155896,0.4760364635364635,0.40697042181155896,0.40609086525078425,0.7191011235955056,True,"[0.4101123595505618, 0.550561797752809]",some classes have < 5 images; per-class recall is very noisy
